device,device_type,domain,mcu_peripheral,mcu_pins_or_gpio,fpga_ports_or_pins,host_side_path,firmware_owner_module,fpga_owner_module,system_role,primary_documents,notes
AD9523,Clock distribution IC,MCU + board clocking,GPIO control plus SPI-style control pins,"GPIOF: AD9523_PD_Pin, AD9523_REF_SEL_Pin, AD9523_SYNC_Pin, AD9523_RESET_Pin, AD9523_CS_Pin, AD9523_STATUS0_Pin, AD9523_STATUS1_Pin, AD9523_EEPROM_SEL_Pin","Provides system clocks that reach FPGA pins such as clk_100m and clk_120m_dac",,main.cpp / ad9523 driver,,Clock generation and distribution,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/System_Architecture_Guide.md","Clock source relationship is described from board/system perspective rather than as one simple bus"
ADF4382 TX,LO synthesizer,MCU RF control,SPI4,"SPI4: PE2/PE5/PE6 plus GPIOG control pins ADF4382_TX_*",,,"ADF4382A_Manager",,TX local oscillator control,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","TX and RX synthesizers share the same manager but separate control/status GPIO"
ADF4382 RX,LO synthesizer,MCU RF control,SPI4,"SPI4: PE2/PE5/PE6 plus GPIOG control pins ADF4382_RX_*",,,"ADF4382A_Manager",,RX local oscillator control,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","TX and RX synthesizers share the same manager but separate control/status GPIO"
ADAR1000 array,Beamformer array,MCU + FPGA bridge,"GPIO chip selects and power control; STM32 SPI path crosses FPGA","ADAR_1_CS_3V3_Pin .. ADAR_4_CS_3V3_Pin plus ADAR rail enables","stm32_sclk_3v3/stm32_mosi_3v3/stm32_miso_3v3; stm32_*_1v8; adar_tx_load_*; adar_rx_load_*; adar_tr_*",,ADAR1000Manager,radar_transmitter.v / radar_mode_controller.v,Beam steering and TX/RX front-end control,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/FPGA/FPGA_Pin_Reference.md; system_guide/FPGA/FPGA_Transmitter_and_Scan_Control_Guide.md","MCU owns protocol/config intent; FPGA bridges and coordinates timing-related control"
ADTR path / ADTR1107 chain,RF front-end support,MCU RF control,Power and control GPIO,"EN_P_3V3_ADTR_Pin and related PA control GPIO",,,"ADAR1000Manager / main.cpp",,RF front-end support and sequencing,"system_guide/MCU/MCU_Firmware_Guide.md; system_guide/MCU/MCU_Pin_Reference.md","The project references ADTR1107-related sequence control in firmware"
DAC5578 #1,PA gate-bias DAC,MCU analog control,I2C1,"I2C1: PB6/PB7; DAC_1_VG_CLR_Pin; DAC_1_VG_LDAC_Pin",,,"DAC5578 driver / main.cpp",,PA bias generation and emergency clear,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","Initialized at I2C address 0x48"
DAC5578 #2,PA gate-bias DAC,MCU analog control,I2C1,"I2C1: PB6/PB7; DAC_2_VG_CLR_Pin; DAC_2_VG_LDAC_Pin",,,"DAC5578 driver / main.cpp",,PA bias generation and emergency clear,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","Initialized at I2C address 0x49"
ADS7830 #1,External ADC / monitor,MCU analog monitoring,I2C2,"I2C2: PF0/PF1",,,"ADS7830 driver / main.cpp",,Analog monitoring,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","Initialized at I2C address 0x48"
ADS7830 #2,External ADC / monitor,MCU analog monitoring,I2C2,"I2C2: PF0/PF1",,,"ADS7830 driver / main.cpp",,Analog monitoring,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","Initialized at I2C address 0x4A"
ADS7830 #3,External ADC / monitor,MCU analog monitoring,I2C2,"I2C2: PF0/PF1",,,"ADS7830 driver / main.cpp",,Temperature and additional analog sensing,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","Initialized at I2C address 0x49"
BMP180,Barometer / pressure sensor,MCU sensor path,I2C3,"I2C3: PA8/PC9",,,"BMP180 / main.cpp",,Environmental sensing and status reporting,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","BMP180 driver accesses hi2c3 directly"
GPS receiver,GNSS module,MCU sensor path,UART5,"UART5: PC12/PD2",,,"TinyGPSPlus / main.cpp",,GPS input and parsing,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","UART5 is configured at 9600 and parsed through TinyGPSPlus"
IMU / GY-85 stack,Inertial sensor path,MCU sensor path,"Interrupt GPIO plus sensor support buses","MAG_DRDY_Pin, ACC_INT_Pin, GYR_INT_Pin",,,"GY_85_HAL / main.cpp",,IMU sensing and platform status,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","Exact bus ownership can be expanded further if desired"
Diagnostic console,Debug/status interface,MCU host-support path,USART3,"USART3: PB10/PB11",,,"diag_log / main.cpp",,Bring-up logs and textual diagnostics,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/MCU/MCU_Firmware_Guide.md","Used extensively for diagnostic transmit output"
FPGA main power/control,Digital subsystem boundary,MCU + FPGA,"GPIO rails plus direct startup GPIO","EN_P_1V0_FPGA_Pin, EN_P_1V8_FPGA_Pin, EN_P_3V3_FPGA_Pin, GPIOD GPIO_PIN_12 reset",reset_n and system clocks feed FPGA main path,,main.cpp,radar_system_top.v,FPGA bring-up and reset sequencing,"system_guide/MCU/MCU_Pin_Reference.md; system_guide/FPGA/FPGA_Architecture_Overview.md","MCU owns startup sequencing; FPGA owns runtime data path"
AD9484,ADC,FPGA receive path,,,"adc_d_p[*], adc_d_n[*], adc_dco_p, adc_dco_n, adc_pwdn",,,"ad9484_interface_400m.v / radar_receiver_final.v",ADC sample capture,"system_guide/FPGA/FPGA_Pin_Reference.md; system_guide/FPGA/FPGA_Receiver_and_ADC_Pipeline_Guide.md","Production-board FPGA receive interface"
DAC,Transmit DAC,FPGA transmit path,,,"dac_data[*], dac_clk, dac_sleep",,,"radar_transmitter.v",Transmit waveform output,"system_guide/FPGA/FPGA_Pin_Reference.md; system_guide/FPGA/FPGA_Transmitter_and_Scan_Control_Guide.md","CSV keeps device generic because board-level DAC naming is described more generally in docs"
